iter	Passed	Remaining
0	5	5775
1	9	4686
2	12	4077
3	15	3861
4	20	4152
5	24	3982
6	26	3828
7	33	4139
8	38	4289
9	42	4188
10	46	4223
11	51	4264
12	55	4193
13	58	4103
14	61	4020
15	67	4128
16	70	4065
17	73	4023
18	79	4125
19	84	4127
20	87	4084
21	90	4037
22	98	4164
23	101	4107
24	103	4051
25	112	4231
26	115	4171
27	118	4127
28	123	4148
29	129	4175
30	132	4130
31	134	4081
32	145	4257
33	148	4230
34	152	4196
35	159	4269
36	162	4232
37	165	4189
38	172	4242
39	176	4245
40	179	4206
41	186	4251
42	189	4223
43	192	4190
44	195	4158
45	200	4160
46	204	4152
47	207	4119
48	210	4089
49	215	4094
50	220	4106
51	224	4084
52	227	4059
53	233	4096
54	237	4072
55	240	4047
56	243	4026
57	247	4018
58	250	4001
59	253	3975
60	256	3954
61	261	3958
62	265	3942
63	267	3918
64	271	3901
65	275	3892
66	279	3886
67	282	3866
68	285	3846
69	287	3822
70	292	3825
71	295	3806
72	298	3788
73	301	3767
74	304	3757
75	309	3758
76	312	3751
77	332	3930
78	337	3938
79	343	3946
80	346	3932
81	349	3915
82	352	3890
83	357	3895
84	360	3880
85	370	3936
86	373	3920
87	376	3906
88	382	3910
89	386	3906
90	389	3891
91	392	3877
92	397	3877
93	401	3865
94	404	3849
95	407	3834
96	412	3837
97	415	3822
98	418	3804
99	421	3789
100	426	3793
101	430	3788
102	433	3773
103	436	3760
104	441	3765
105	445	3756
106	448	3744
107	451	3731
108	457	3738
109	460	3728
110	463	3714
111	466	3701
112	472	3706
113	476	3703
114	479	3691
115	484	3693
116	488	3684
117	491	3672
118	494	3663
119	497	3650
120	503	3656
121	505	3639
122	508	3626
123	511	3613
124	516	3612
125	520	3611
126	522	3594
127	526	3583
128	530	3583
129	535	3582
130	538	3571
131	541	3558
132	546	3559
133	550	3557
134	553	3544
135	555	3531
136	560	3531
137	565	3531
138	568	3519
139	571	3507
140	575	3504
141	577	3492
142	581	3485
143	584	3474
144	587	3462
145	592	3463
146	595	3456
147	598	3446
148	601	3434
149	605	3432
150	612	3441
151	615	3433
152	625	3464
153	629	3456
154	632	3449
155	643	3478
156	646	3470
157	649	3460
158	654	3463
159	658	3456
160	660	3440
161	663	3430
162	670	3443
163	674	3436
164	677	3427
165	682	3426
166	686	3423
167	689	3413
168	691	3402
169	697	3404
170	702	3407
171	705	3397
172	708	3387
173	713	3386
174	718	3385
175	721	3376
176	724	3367
177	728	3366
178	733	3363
179	736	3354
180	739	3345
181	743	3343
182	747	3339
183	751	3331
184	753	3321
185	758	3320
186	763	3318
187	766	3308
188	768	3299
189	773	3297
190	778	3295
191	780	3286
192	783	3278
193	789	3279
194	793	3275
195	796	3267
196	799	3259
197	808	3276
198	811	3267
199	814	3258
200	822	3270
201	825	3262
202	828	3254
203	832	3247
204	837	3248
205	841	3244
206	845	3238
207	857	3265
208	861	3259
209	868	3267
210	872	3262
211	876	3257
212	887	3280
213	891	3274
214	903	3299
215	907	3293
216	913	3296
217	917	3290
218	923	3292
219	934	3313
220	939	3311
221	947	3318
222	950	3312
223	954	3305
224	961	3313
225	965	3307
226	970	3305
227	979	3317
228	983	3311
229	986	3302
230	990	3297
231	993	3289
232	999	3289
233	1002	3282
234	1009	3286
235	1012	3278
